Thread ID: 70154612562920
Fiber ID: 70154645137400
Total: 92.534922
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00      0.000     0.000     0.000     0.000       12   Kernel#lambda 
  0.00      0.000     0.000     0.000     0.000       36   Array#first 
  0.00      0.000     0.000     0.000     0.000       12   CSV#escape_re 
  0.00      0.000     0.000     0.000     0.000        6   CSV#header_convert 
  0.00      0.026     0.000     0.000     0.026        5   Customer#invoices 
  0.00     14.987     0.000     0.000    14.987        5   SalesIntelligence#find_revenue_by_item 
  0.00      9.480     0.000     0.000     9.480       11   Enumerable#map 
  0.00      0.301     0.000     0.000     0.301        5   InvoiceItemRepository#find_one_by_item_id 
  0.00      0.016     0.000     0.000     0.016        5   Merchant#items 
  0.00     14.867     0.000     0.000    14.867        5   Merchant#item_total 
  0.00      0.016     0.000     0.000     0.016        5   SalesFinder#find_items_by_merch_id 
  0.00      0.000     0.000     0.000     0.000        5   <Class::Exception>#exception 
  0.00      0.011     0.000     0.000     0.011        5   Transaction#invoice 
  0.00      0.000     0.000     0.000     0.000        5   Kernel#throw 
  0.00      0.000     0.000     0.000     0.000        3   Enumerable#max_by 
  0.00      0.137     0.000     0.000     0.137        5   Item#invoice_items 
  0.00      0.002     0.000     0.000     0.002        5   CustomerRepository#find_by_last_name 
  0.00      0.028     0.000     0.000     0.028        5   Invoice#transactions 
  0.00      0.290     0.000     0.000     0.290        5   InvoiceItemRepository#find_all_by_quantity 
  0.00      0.000     0.000     0.000     0.000        5   ItemRepository#find_merchant 
  0.00      0.000     0.000     0.000     0.000        6   CSV#rewind 
  0.00      0.000     0.000     0.000     0.000        5   SalesFinder#find_merchant_by_merch_id 
  0.00      0.137     0.000     0.000     0.137        5   SalesFinder#find_invoice_items_by_item_id 
  0.00     15.051     0.000     0.000    15.051        1   ItemRepository#most_items 
  0.00     16.067     0.000     0.000    16.067        5   MerchantRepository#find_revenue_per_merchant 
  0.00     80.686     0.000     0.000    80.686       10  *Timeout#timeout 
  0.00      0.001     0.000     0.000     0.001        5   GenericRepo#find_all_by_name 
  0.00      0.000     0.000     0.000     0.000        5   Enumerable#each_with_object 
  0.00      0.028     0.000     0.000     0.028        5   InvoiceRepository#find_transactions 
  0.00      0.000     0.000     0.000     0.000        6   IO#pos 
  0.00      0.005     0.000     0.000     0.005        5   CustomerRepository#find_all_by_first_name 
  0.00      0.014     0.000     0.000     0.014        5   ItemRepository#find_all_by_name 
  0.00      0.025     0.000     0.000     0.025        5   Merchant#invoices 
  0.00      0.011     0.000     0.000     0.011        5   TransactionRepository#find_invoice 
  0.00      0.000     0.000     0.000     0.000        3   BigDecimal#-@ 
  0.00      0.016     0.000     0.000     0.016        5   MerchantRepository#find_items 
  0.00      0.000     0.000     0.000     0.000       24   Module#== 
  0.00      0.570     0.000     0.000     0.570        5   ItemRepository#find_by_unit_price 
  0.00      0.137     0.000     0.000     0.137        5   InvoiceItemRepository#find_all_by_item_id 
  0.00      0.000     0.000     0.000     0.000       10   <Class::Time>#now 
  0.00      0.301     0.000     0.000     0.301        5   InvoiceItemRepository#find_by_item_id 
  0.00      0.137     0.000     0.000     0.137        5   ItemRepository#find_invoice_items 
  0.00      0.166     0.000     0.000     0.166        5   InvoiceRepository#find_items 
  0.00      0.000     0.000     0.000     0.000        5   Exception#set_backtrace 
  0.00      0.066     0.000     0.000     0.066        5   TransactionRepository#find_by_credit_card_number 
  0.00      0.000     0.000     0.000     0.000        5   Array#sample 
  0.00      0.000     0.000     0.000     0.000        6   String#== 
  0.00      0.025     0.000     0.000     0.025        5   MerchantRepository#find_invoices 
  0.00      0.011     0.000     0.000     0.011        5   SalesFinder#find_invoice_by_invoice_id 
  0.00      0.000     0.000     0.000     0.000        6   Kernel#respond_to? 
  0.00      0.000     0.000     0.000     0.000       12   Kernel#block_given? 
  0.00      0.000     0.000     0.000     0.000        6   Method#call 
  0.00      0.026     0.000     0.000     0.026        5   CustomerRepository#find_invoices 
  0.00     14.867     0.000     0.000    14.867        5   MerchantRepository#find_item_total 
  0.00      3.182     0.000     0.000     3.182        1   SalesIntelligence#find_best_day 
  0.00      0.000     0.000     0.000     0.000        6   CSV::Row#headers 
  0.00      0.000     0.000     0.000     0.000        6   IO#external_encoding 
  0.00      0.000     0.000     0.000     0.000        6   String#end_with? 
  0.00      0.543     0.000     0.000     0.542        2   SalesIntelligence#show_success_fail_of_customer_by_invoice_per_merchant 
  0.00      0.000     0.000     0.000     0.000        6   Numeric#nonzero? 
  0.00      0.010     0.000     0.000     0.010        1   Customer#favorite_merchant 
  0.00      0.249     0.000     0.000     0.249        1   Merchant#customers_with_pending_invoices 
  0.00      0.000     0.000     0.000     0.000        7   Exception#exception 
  0.00     12.749     0.000     0.000    12.749        1   MerchantRepository#most_revenue 
  0.00     14.867     0.000     0.000    14.867        1   MerchantRepository#most_items 
  0.00      0.000     0.000     0.000     0.000        4   Fixnum#/ 
  0.00     80.686     0.000     0.000    80.686       10  *SalesEngineProfiler#time_capped 
  0.00      0.000     0.000     0.000     0.000        5   Hash#initialize 
  0.00      0.000     0.000     0.000     0.000        1   <Class::Regexp>#quote 
  0.00      0.010     0.000     0.000     0.010        1   SalesIntelligence#find_favorite_merchant 
  0.00      0.000     0.000     0.000     0.000        6   Kernel#instance_variable_get 
  0.00      0.294     0.000     0.000     0.294        1   SalesIntelligence#find_favorite_customer 
  0.00      3.182     0.000     0.000     3.182        1   Item#best_day 
  0.00      0.004     0.000     0.000     0.004        1   SalesIntelligence#group_invoices_by_merchant_per_customer 
  0.00      0.011     0.000     0.000     0.011        1   SalesIntelligence#find_transactions_by_cust_id 
  0.00     14.987     0.000     0.000    14.987        1   ItemRepository#most_revenue 
  0.00      0.294     0.000     0.000     0.294        1   Merchant#favorite_customer 
  0.00      0.011     0.000     0.000     0.011        1   CustomerRepository#find_transactions_by_cust_id 
  0.00      0.010     0.000     0.000     0.010        1   SalesIntelligence#show_success_fail_of_merchant_by_invoice_per_merchant 
  0.00      0.000     0.000     0.000     0.000        6   IO#internal_encoding 
  0.00      0.000     0.000     0.000     0.000        6   Array#pop 
  0.00      0.000     0.000     0.000     0.000        1   SalesEngine#initialize 
  0.00      0.249     0.000     0.000     0.249        1   MerchantRepository#find_customers_with_pending_invoices 
  0.00      0.010     0.000     0.000     0.010        1   CustomerRepository#find_favorite_merchant 
  0.00      0.249     0.000     0.000     0.249        1   SalesIntelligence#find_customers_with_pending_invoices 
